Time,bitfinex,campbx,cex.io,coinbase,exmo,gemini,hitbtc,itbit,others,therocktrading
2017-11-14 00:00:00 UTC,6525.50735020262,6500.0,6802.11150765361,6590.25799774462,6604.52196674165,6599.46380800294,6532.39151264789,6587.09342283097,6571.045474013084,6660.65293669872
2017-11-15 00:00:00 UTC,6998.43127990583,,7229.85445356775,7052.54437000796,7013.73696290585,7048.69748736104,6999.53418618441,7047.63756848994,7011.302156054017,7061.76787114846
2017-11-16 00:00:00 UTC,7460.76220103001,7000.0,7673.08596898403,7462.06541201252,7383.69619971352,7470.10373745256,7454.49739008967,7463.50181844775,7399.33897080908,7528.72303651419
2017-11-17 00:00:00 UTC,7827.08706699987,,7947.37632763054,7832.92418810603,7688.07664020948,7832.18806646752,7823.65951553081,7830.21154144687,7777.75484954253,7826.36399574615
2017-11-18 00:00:00 UTC,7683.2785660558,,7826.99195820768,7714.65778086629,7615.01856410221,7707.80784840845,7681.56010631326,7693.04458811975,7647.7228745734965,7687.9891772966
2017-11-19 00:00:00 UTC,7840.0194944431,,7899.96990689936,7840.44498087217,7672.17879089393,7836.63586786425,7839.0458446712,7832.94761231746,7761.559621497147,7833.88053754579
2017-11-20 00:00:00 UTC,8125.27586988804,,8136.92850096313,8126.41737057541,7932.74949119369,8119.8100758846,8126.86437101103,8110.32666049984,8015.382959357053,8118.90710325555
2017-11-21 00:00:00 UTC,8173.83411536709,,8223.14438757977,8181.1999305404,8036.20564531055,8172.9669441412,8165.59018486913,8164.48020786974,8096.70800862621,8129.29852457265
2017-11-22 00:00:00 UTC,8193.51759281831,5625.0,8279.85957463669,8209.46456095146,8117.37848396492,8206.04986437725,8194.44409083448,8174.67022810723,8153.383153166906,8172.5272347337
2017-11-23 00:00:00 UTC,8168.59211976542,,8244.28939196859,8189.19550794899,8119.30423813881,8180.78288272953,8164.49214657107,8177.45755292165,8120.612287823683,8165.91413849378
2017-11-24 00:00:00 UTC,8158.07674666584,7800.0,8227.46573427329,8186.38349295687,8100.87267101541,8174.99403399295,8152.37069965332,8170.43658666703,8103.406917917763,8132.23456830207
2017-11-25 00:00:00 UTC,8476.48714599038,,8504.77985991101,8498.81092542778,8311.91217799868,8482.95183697134,8472.03238434716,8480.01196474412,8368.702349722613,8528.42400466853
2017-11-26 00:00:00 UTC,9052.49792775609,,9131.52786225661,9141.98310727604,8899.57693320093,9049.85714483329,9052.49415338577,9055.47876241587,8917.439168301566,9117.8007605141
2017-11-27 00:00:00 UTC,9598.19834430202,,9764.38958002683,9670.49407862286,9415.36284501183,9606.89464777243,9599.01878335687,9603.01940331302,9463.481285191832,9622.85340337995
