Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,hitbtc,kraken,others
2018-05-26 00:00:00 UTC,4498.7592,13810.0173234499,6393.72265675996,3656.12563244,4612.12982756,5267.20789414999,1792.9706108432,9490.21999999995,5524.47143565,6274.580894903304
2018-05-27 00:00:00 UTC,4713.0918,16174.92718596,6278.69435916997,2984.91204945,3802.56779264,5403.87151885,1021.8826021453,8290.50999999997,4854.40984238003,6184.8992289274565
2018-05-28 00:00:00 UTC,4097.9075,26677.86919628,10826.6424182699,7093.31639099999,7932.80681055999,9379.59405516001,2509.3514883232,9735.70999999992,9190.33915078996,10754.931724805909
2018-05-29 00:00:00 UTC,4134.3619,27898.86827943,12716.8806929897,7336.05356433,12504.23072371,12287.15982204,3530.4774733872,8631.04999999995,12973.10020191,13472.818929645304
2018-05-30 00:00:00 UTC,3830.1236,22083.1286554998,11275.4313968398,6847.76920551999,10089.5203372,7189.28623016999,2452.8721548514,9167.03999999996,8393.20706274999,10256.075388080477
2018-05-31 00:00:00 UTC,3907.6714,19464.9099436099,9505.6819818299,5962.20719889,8517.08076107,6812.84650176,2639.1080886278,8886.12999999997,7415.95031260999,8316.850625323024
2018-06-01 00:00:00 UTC,4546.1723,19041.1155201099,7789.39089849991,4511.01533199,7532.37577112,7469.11029357999,2933.752786974,8642.04999999996,6554.11816405999,8147.081965396059
2018-06-02 00:00:00 UTC,4378.5447,17363.61246282,8252.64758760991,4336.71000908001,4646.78422652,5235.43592773,1598.2429132378,7502.36999999998,5597.07055348998,5626.584148502432
2018-06-03 00:00:00 UTC,4512.1909,13796.12597233,5667.13867865997,3883.99641472,5385.00084662,5416.01917389,1186.1575359661,6950.56999999999,5006.92792509998,6153.524790631693
2018-06-04 00:00:00 UTC,4336.0936,18132.68188151,8137.73891214994,4566.32740512,7910.53426736,6643.60924104999,2124.1142557849,6518.56999999999,7347.01949262999,9905.67484686729
2018-06-05 00:00:00 UTC,4881.838,16741.56378202,8662.51577764995,4182.11038522,11141.8978497,6493.28404005,1918.1361822354,7642.65999999998,8190.93278613998,9968.376217611936
2018-06-06 00:00:00 UTC,4663.0177,18269.76321759,7425.20382306997,3904.13249473,7804.83977204,6325.31129102,1647.4608630615,6305.51999999999,7330.12801470996,9316.281892469728
2018-06-07 00:00:00 UTC,4020.1257,11037.50621419,6493.11170941998,3701.77303287,8139.17249136,5823.60030608,1572.9498195114,6874.54999999999,5048.32195432,8418.84869147138
2018-06-08 00:00:00 UTC,4031.4783,12197.84324961,6232.52925343998,3626.20311053,5208.08805903,4616.078674,1307.2201662031,7148.60999999997,4360.81507218,6173.352307641476
2018-06-09 00:00:00 UTC,4546.9211,7242.26022178,3688.62419995,2697.09560216,3054.19160135,3009.68365164,726.6548659485,7385.11999999998,3056.57460733,4669.03992630752
2018-06-10 00:00:00 UTC,3496.7218,57822.8915251208,14954.0989953798,7947.40379673999,17248.2674218,18948.63435298,6317.6616634606,8520.78999999994,17440.9210760099,15894.694149810972
2018-06-11 00:00:00 UTC,4072.7661,22377.74129318,13139.2911926499,6902.69211834,13390.65651541,13760.01004621,4598.1094690759,7687.37999999998,10763.7125136999,12323.240832325087
2018-06-12 00:00:00 UTC,3488.3456,32008.3128028901,10365.2988965299,6822.86649187,10512.04665043,12239.29239254,4026.4148018993,8232.73999999997,11180.61047708,12437.199244890782
2018-06-13 00:00:00 UTC,3982.1002,45564.2656880898,15504.6802729598,6862.38961151,21958.21853917,19865.99635597,6909.0599067564,9675.41999999996,17297.4143457599,17350.294385554393
